acariâtreté, feminine
acarnanie, feminine
acarologie, feminine
acatalepsie, feminine
acathisie, feminine
acc, masculine
accapareuse, feminine
accédante, feminine
accessoirisation, feminine
acciaccatura, feminine
accidentalité, feminine
accidentologie, feminine
abdias, masculine
abdo, masculine
abdominaux, masculine
abdos, masculine
abdoulaye, masculine
abdoulla, masculine
abducens, masculine
abeillage, masculine
abeiller, masculine
abeillier, masculine
abelia, masculine
abelin, masculine
abélonien, masculine
abénaquis, masculine
aber, masculine
aberdonien, masculine
abessif, masculine
abhinaya, masculine
abidjanais, masculine
abies, masculine
abigeat, masculine
abime, masculine
abinomn, masculine
abitibien, masculine
abjurateur, masculine
abkhazien, masculine
ablégat, masculine
abléphare, masculine
ableret, masculine
ablier, masculine
abois, masculine
aboiteau, masculine
aboméen, masculine
abondement, masculine
abonnissement, masculine
abordeur, masculine
abords, masculine
abornement, masculine
aridité, feminine
armée, feminine
arménie, feminine
articulation, feminine
artillerie, feminine
ascension, feminine
aspiration, feminine
assiette, feminine
assimilation, feminine
association, feminine
astronomie, feminine
astuce, feminine
atmosphære, feminine
attention, feminine
attitude, feminine
attribution, feminine
audace, feminine
audibilité, feminine
audition, feminine
aula, feminine
aura, feminine
aurore, feminine
authenticité, feminine
autobiographie, feminine
automatique, masculine
automatisation, feminine
autorité, feminine
autrice, feminine
auvergne, feminine
auxine, feminine
aventure, feminine
avocate, feminine
avoine, feminine
axonge, feminine
aya, masculine
azalée, feminine
azerole, feminine
aïeule, feminine
babine, feminine
babiole, feminine
baccalauréat, masculine
bagarre, feminine
baguette, feminine
balistique, feminine
bandurria, feminine
banque, masculine
barbe, masculine
barricade, feminine
bassesse, feminine
basta, masculine
bataille, feminine
beauté, feminine
belette, feminine
belliciste, masculine
berne, feminine
bestialité, feminine
bibliographie, feminine
bibliophage, masculine
bibliophile, masculine
bibliothèque, feminine
bienvenue, feminine
bimbeloterie, feminine
biochimie, feminine
biographie, feminine
biologie, feminine
aphorisme, masculine
apothicaire, masculine
appaloosa, masculine
appareil, masculine
appartement, masculine
appel, masculine
approvisionnement, masculine
appui, masculine
appétit, masculine
aquarium, masculine
aquæduc, masculine
arbitraire, masculine
arbre, masculine
arbrisseau, masculine
arbuste, masculine
archaïsme, masculine
archevêché, masculine
argent, masculine
argot, masculine
armistice, masculine
arrière, masculine
artichaut, masculine
article, masculine
artisan, masculine
aræometre, masculine
arçon, masculine
ascenseur, masculine
asperge, feminine
assault, masculine
assaut, masculine
asticot, masculine
atavisme, masculine
athenæe, masculine
atoll, masculine
attacheur, masculine
aucteur, masculine
audit, masculine
australien, masculine
autographe, feminine
automne, masculine
autour, masculine
autrui, masculine
ave, masculine
avenir, masculine
avion, masculine
avis, masculine
avocat, masculine
avoir, masculine
avril, feminine
axiome, masculine
axolotl, masculine
ay, masculine
azeraille, masculine
azerolier, masculine
azerou, masculine
azimut, masculine
azotate, masculine
azote, masculine
azur, masculine
azyme, masculine
azédarac, masculine
aéronef, masculine
aéroport, masculine
aérostat, masculine
aïeul, masculine
accessoires, masculine
accidenté, masculine
acclimatement, masculine
accolage, masculine
accommodage, masculine
accommodement, masculine
accompagnement, masculine
accomplissement, masculine
accordage, masculine
accordé, masculine
accordement, masculine
accordéon, masculine
accordeur, masculine
accordoir, masculine
accostage, masculine
accot, masculine
accotement, masculine
accotoir, masculine
accouchement, masculine
accoucheur, masculine
accoudoir, masculine
accouplement, masculine
accourcissement, masculine
accoutrement, masculine
accréditeur, masculine
accréditif, masculine
accroc, masculine
accrochage, masculine
accrochement, masculine
accroissement, masculine
accroupissement, masculine
accu, masculine
accumulateur, masculine
accusateur, masculine
accusatif, masculine
ace, feminine
acénocoumarol, masculine
acérage, masculine
acétal, masculine
acétaldéhyde, masculine
acétate, masculine
acétimètre, masculine
achalandage, masculine
acharnement, masculine
acheminement, masculine
acheteur, masculine
achevage, masculine
achèvement, masculine
achevoir, masculine
achgabat, masculine
achille, masculine
achoppement, masculine
achromatisme, masculine
acidage, masculine
acide, masculine
acidulation, feminine
aciérie, feminine
acitrétine, feminine
aconitine, feminine
açores, feminine
acquisition, feminine
acre, masculine
âcreté, feminine
acridine, feminine
acrimonie, feminine
acrobatie, feminine
acromégalie, feminine
acrophobie, feminine
acropole, feminine
actine, feminine
actinologie, feminine
actinomycose, masculine
actinote, feminine
activation, feminine
actualisation, feminine
acuité, feminine
acuponcture, feminine
acupression, feminine
acupressure, feminine
acupuncture, feminine
adaptabilité, feminine
adaptation, feminine
additionneuse, feminine
adduction, feminine
adélaïde, feminine
adèle, feminine
adélie, feminine
adeline, feminine
adénine, feminine
adénomyose, feminine
adéquation, feminine
adermine, feminine
adhérence, feminine
adhésion, feminine
adhésivité, feminine
adiabatique, feminine
adipose, feminine
adiposité, feminine
adition, feminine
adjonction, feminine
adjudication, feminine
adjuration, feminine
administratrice, feminine
admiration, feminine
admiratrice, feminine
admissibilité, feminine
admission, feminine
admittance, feminine
admonestation, feminine
admonition, feminine
acconière, feminine
accrémentition, feminine
accrétion, feminine
accrobranche, feminine
accroche, feminine
accumobile, feminine
accumulatrice, feminine
acédie, feminine
acériculture, feminine
acescence, feminine
acétalisation, feminine
acétification, feminine
acétoïne, feminine
acétonurie, feminine
acétylglucosamine, feminine
abortif, masculine
abot, masculine
aboteau, masculine
abou, masculine
aboutement, masculine
aboyeur, masculine
abrasif, masculine
abrasimètre, masculine
abrasin, masculine
abrègement, masculine
biroute, feminine
biscutelle, feminine
bite, feminine
bière, feminine
blague, feminine
blanche, feminine
blanchisserie, feminine
blatte, feminine
blessure, feminine
blonde, feminine
boisson, feminine
aïeux, masculine
babeurre, masculine
babil, masculine
babillage, masculine
babillard, masculine
babillement, masculine
bac, feminine
adolescence, feminine
adolescente, feminine
adoption, feminine
adoration, feminine
adoratrice, feminine
adrénaline, feminine
badiste, masculine
baléare, masculine
balletomane, masculine
bandagiste, masculine
banjoïste, masculine
bantouïste, masculine
baoulé, masculine
baptiste, masculine
barbouze, masculine
barjo, masculine
basque, masculine
bassiste, masculine
batave, masculine
ba'thiste, masculine
baudrit, masculine
béarnais, masculine
beatnik, masculine
beaudry, masculine
bédéiste, masculine
bédéphile, masculine
bègue, masculine
bégueule, masculine
belge, masculine
bellouniste, masculine
bénéficiaire, masculine
bénévole, masculine
bengue, masculine
bengué, masculine
berbère, masculine
berbériste, masculine
berbérophone, masculine
bi, masculine
biathlète, masculine
bibliographe, masculine
bibliothécaire, masculine
bibliovore, masculine
bicycliste, masculine
biélorusse, masculine
biélorussophone, masculine
bigame, masculine
bigophoniste, masculine
bilodeau, masculine
bimétalliste, masculine
biochimiste, masculine
bioclimatologue, masculine
biogéographe, masculine
biographe, masculine
biologiste, masculine
biothérapeute, masculine
bisounours, masculine
biturige, masculine
black, masculine
blanquiste, masculine
bloquiste, masculine
bobo, masculine
bobovnikoff, masculine
boche, masculine
bohème, masculine
bolchevique, masculine
bolchévique, masculine
bolcheviste, masculine
bolivariste, masculine
bollandiste, masculine
bompas, masculine
bonapartiste, masculine
borgne, masculine
boriaud, masculine
bosniaque, masculine
boss, masculine
botaniste, masculine
bouddhiste, masculine
bougnoule, masculine
boulangiste, masculine
bouliste, masculine
bouquiniste, masculine
bourbonnais, masculine
bourge, masculine
bourgmestre, masculine
boutaleb, masculine
bouvette, masculine
boyer, masculine
bradfer, masculine
bréant, masculine
britannique, masculine
brittophone, masculine
buchez, masculine
budgétivore, masculine
buemi, masculine
bulgare, masculine
bulgarophile, masculine
buraliste, masculine
burgonde, masculine
byzantinologue, masculine
câbliste, masculine
cairote, masculine
calligraphe, masculine
calviniste, masculine
camarade, masculine
campanologue, masculine
canavan, masculine
cancer, masculine
cancérologue, masculine
candide, masculine
canet, masculine
caniche, masculine
cannibale, masculine
canoéiste, masculine
canoniste, masculine
capitaliste, masculine
capricorne, masculine
caquiste, masculine
caraïbe, masculine
caramel, masculine
cardiologue, masculine
caricaturiste, masculine
cariste, masculine
carliste, masculine
carrière, masculine
carriériste, masculine
cartographe, masculine
cartophile, masculine
cassos, masculine
castriste, masculine
catalanophone, masculine
catastrophiste, masculine
catéchumène, masculine
cathare, masculine
catho, masculine
catholique, masculine
caucasologue, masculine
caviste, masculine
cazalé, masculine
cédétiste, masculine
cégétiste, masculine
célibataire, masculine
celte, masculine
centenaire, masculine
centrasiatique, masculine
centriste, masculine
cervoliste, masculine
cessionnaire, masculine
chabab, masculine
chaban, masculine
chabert, masculine
chaîniste, masculine
chambriste, masculine
champignonniste, masculine
chantre, masculine
chartiste, masculine
chauffagiste, masculine
chauve, masculine
chauviniste, masculine
chaviste, masculine
cheyenne, masculine
chichportich, masculine
chienlit, masculine
chiite, masculine
chimiste, masculine
chorégraphe, masculine
choriste, masculine
chresmologue, masculine
christadelphe, masculine
chromiste, masculine
chronique, masculine
chronophobe, masculine
chti, masculine
chtimi, masculine
chymiste, masculine
chypriote, masculine
cibiste, masculine
cinéaste, masculine
cinéphile, masculine
cisgenre, masculine
citadin, masculine
cithariste, masculine
civiliste, masculine
clarinettiste, masculine
claustrophobe, masculine
claveciniste, masculine
claviériste, masculine
clém, masculine
cleptocrate, masculine
cleptomane, masculine
climatologue, masculine
climatosceptique, masculine
adriatique, feminine
adrienne, feminine
adsorption, feminine
adulaire, feminine
adulation, feminine
adultération, feminine
advection, feminine
adversité, feminine
adyguée, feminine
adynamie, feminine
aération, feminine
aérodynamique, feminine
aérogare, feminine
aérologie, feminine
aéronautique, feminine
aéronomie, feminine
aérophagie, feminine
aérophobie, feminine
aérostation, feminine
aérostatique, feminine
aérothérapie, feminine
affabilité, feminine
affabulation, feminine
affaire, feminine
affaires, feminine
affectation, feminine
affection, feminine
affectivité, feminine
affectuosité, feminine
afféterie, feminine
affiche, feminine
affiliation, feminine
affiloire, feminine
affinerie, feminine
acidimètre, masculine
acidophile, masculine
aciérage, masculine
acinus, masculine
acmé, feminine
acolyte, masculine
acompte, masculine
aconit, masculine
acore, masculine
acquéreur, masculine
acquêt, masculine
acquiescement, masculine
acquis, masculine
acquit, masculine
acquittement, masculine
acronyme, masculine
acrostiche, feminine
acrotère, masculine
acrylate, masculine
acrylique, masculine
acrylonitrile, masculine
bagage, masculine
bagne, masculine
baguel, masculine
baiser, masculine
baisers, masculine
baiseur, masculine
baladeur, masculine
balai, masculine
ballet, masculine
balourd, masculine
bambin, masculine
bar, masculine
barbarisme, masculine
barnage, masculine
baromètre, masculine
basilic, masculine
bateau, masculine
beau, masculine
beignet, masculine
bellicisme, masculine
berceau, masculine
besoin, masculine
beurre, masculine
bezant, masculine
bide, masculine
bien, masculine
bijou, masculine
biniou, masculine
bisou, masculine
bistro, masculine
bit, masculine
bjr, masculine
bleu, masculine
blizzard, masculine
blé, masculine
bois, masculine
boix, masculine
bombonnière, feminine
bonne, feminine
bonté, feminine
botanique, feminine
bouche, feminine
boucherie, feminine
bouchette, feminine
boucle, feminine
bouclette, feminine
bouillon, masculine
bourgeoisie, feminine
boussole, feminine
bouteille, feminine
brebis, feminine
brique, feminine
brochure, feminine
brusquerie, masculine
brûlure, feminine
bulle, feminine
bureaucratie, feminine
burqa, feminine
but, masculine
buvette, feminine
bâle, feminine
bélouga, masculine
bénédiction, feminine
bêche, feminine
bête, feminine
bêtise, feminine
bûcheronne, feminine
cachette, feminine
caféine, feminine
cagoule, feminine
calamité, masculine
caldeira, feminine
cale, feminine
came, feminine
campagne, masculine
canadian, masculine
capa, feminine
capacité, feminine
capitaine, masculine
captivité, feminine
caractéristique, feminine
caravelle, masculine
affixe, masculine
affliction, feminine
affluence, feminine
affres, feminine
affronterie, feminine
affusion, feminine
affûteuse, feminine
afghane, feminine
africaine, feminine
africanisation, feminine
afrique, feminine
agace, feminine
agacerie, feminine
agapanthe, feminine
agape, feminine
agate, feminine
agathe, feminine
agence, feminine
agénésie, feminine
agglomération, feminine
agglutinine, feminine
aggravation, feminine
agmatine, feminine
agnation, feminine
agnelée, feminine
agneline, feminine
agnelle, feminine
agnès, feminine
agnosie, feminine
agogique, feminine
agonie, feminine
agoraphobe, masculine
agoraphobie, feminine
agrafe, feminine
agranulocytose, feminine
agraphie, feminine
agrégation, feminine
agressivité, feminine
agricultrice, feminine
agrochimie, feminine
agrologie, feminine
agronomie, feminine
aïcha, feminine
aigrette, feminine
aigreur, feminine
aiguière, feminine
aiguille, feminine
aiguillette, feminine
ailette, feminine
ailière, feminine
aillade, feminine
ailourophobie, feminine
acte, masculine
acteur, masculine
actif, masculine
actinium, masculine
actionnement, masculine
activateur, masculine
activeur, masculine
acuponcteur, masculine
acupuncteur, masculine
adage, masculine
adam, masculine
adaptateur, masculine
addenda, masculine
additionneur, masculine
adénome, masculine
adénovirus, masculine
adent, masculine
adhérent, masculine
adhésif, masculine
adipocyte, masculine
adjoint, masculine
adjudant, masculine
adjuvant, masculine
administrateur, masculine
administré, masculine
admirateur, masculine
adolphe, masculine
