,noun,gender,lang
638,chronocide,m,fr
639,chronogramme,m,fr
640,chromosome,m,fr
641,chroniqueur,m,fr
642,classificateur,m,fr
643,classeur,m,fr
644,clasico,m,fr
645,clash,m,fr
646,clarain,m,fr
647,classicisme,m,fr
648,change,m,fr
649,claque-merde,m,fr
650,claqueur,m,fr
651,classement,m,fr
652,claquement,m,fr
653,clapotis,m,fr
654,clapotement,m,fr
655,claquage,m,fr
656,clappement,m,fr
657,code-barres,m,fr
658,clapotage,m,fr
659,comble,m,fr
660,combustible,m,fr
661,comburant,m,fr
662,comblement,m,fr
663,combishort,m,fr
664,combinateur,m,fr
665,combattant,m,fr
666,combinat,m,fr
667,comanche,m,fr
668,condom,m,fr
669,combat,m,fr
670,condo,m,fr
671,complotisme,m,fr
672,condominium,m,fr
673,comploteur,m,fr
674,condiment,m,fr
675,conditionnement,m,fr
676,conditionneur,m,fr
677,condensateur,m,fr
678,condenseur,m,fr
679,conditionnel,m,fr
680,concurrent,m,fr
681,condensat,m,fr
682,contrebandier,m,fr
683,contre-transfert,m,fr
684,concubinage,m,fr
685,contre-jour,m,fr
686,contre-feu,m,fr
687,contre-interrogatoire,m,fr
688,contre-terrorisme,m,fr
689,contre-mot,m,fr
690,contre-torpilleur,m,fr
691,contre-la-montre,m,fr
692,contre-filet,m,fr
693,contre-exemple,m,fr
694,coronavirus,m,fr
695,contre-espionnage,m,fr
696,corona,m,fr
697,contre-emploi,m,fr
698,contre-courant,m,fr
699,coron,m,fr
700,contre-amiral,m,fr
701,cornouiller,m,fr
702,corolaire,m,fr
703,corollaire,m,fr
704,cotisant,m,fr
705,coton,m,fr
706,cornique,m,fr
707,cornillon,m,fr
708,cornifle,m,fr
709,coronographe,m,fr
710,cotillon,m,fr
711,crapaud,m,fr
712,cran,m,fr
713,cranson,m,fr
714,crampon,m,fr
715,cramoisissement,m,fr
716,cramique,m,fr
717,crucifiement,m,fr
718,cru,m,fr
719,croyant,m,fr
720,crozet,m,fr
721,cruchon,m,fr
722,crowdfunding,m,fr
723,crowdlending,m,fr
724,crouston,m,fr
725,croupion,m,fr
726,croulement,m,fr
727,crottin,m,fr
728,crouton,m,fr
729,cryptonyme,m,fr
730,croulant,m,fr
731,cymbalion,m,fr
732,croupier,m,fr
733,cymbalier,m,fr
734,cygne,m,fr
735,cylindre,m,fr
736,cyclotourisme,m,fr
737,cyclotron,m,fr
738,cyclostome,m,fr
739,cyclope,m,fr
740,cynorhodon,m,fr
741,deuil,m,fr
742,deuspi,m,fr
743,digon,m,fr
744,dhamma,m,fr
745,digone,m,fr
746,dignitaire,m,fr
747,digit,m,fr
748,digesteur,m,fr
749,digest,m,fr
750,diffusionnisme,m,fr
751,digeste,m,fr
752,digitigrade,m,fr
753,digestif,m,fr
754,digamma,m,fr
755,divan,m,fr
756,digba,m,fr
757,difluorure,m,fr
758,difluor,m,fr
759,diffuseur,m,fr
760,dito,m,fr
761,diurnal,m,fr
762,district,m,fr
763,dititane,m,fr
764,dithyrambe,m,fr
765,distique,m,fr
766,disulfure,m,fr
767,distributeur,m,fr
768,disulfirame,m,fr
769,drac,m,fr
770,distribanque,m,fr
771,distinguo,m,fr
772,distributif,m,fr
773,drag,m,fr
774,doute,m,fr
775,doum,m,fr
776,doyen,m,fr
777,doudou,m,fr
778,douro,m,fr
779,doublet,m,fr
780,douteur,m,fr
781,dysprosium,m,fr
782,doubleur,m,fr
783,doublon,m,fr
784,dysfonctionnement,m,fr
785,dynamo,m,fr
786,dytique,m,fr
787,dynaste,m,fr
788,dynamiteur,m,fr
789,dynamoscope,m,fr
790,duumvir,m,fr
791,dynamitage,m,fr
792,dynamisme,m,fr
793,duvet,m,fr
794,durillon,m,fr
795,durian,m,fr
796,duumvirat,m,fr
797,ed,m,fr
798,edelweiss,m,fr
799,elfe,m,fr
800,elfique,m,fr
801,en-avant,m,fr
802,en-cas,m,fr
803,empressement,m,fr
804,emprunt,m,fr
805,emprunteur,m,fr
806,emprisonnement,m,fr
807,emportement,m,fr
808,endoderme,m,fr
809,enrobage,m,fr
810,enrochement,m,fr
811,enrichissement,m,fr
812,enregistreur,m,fr
813,enrayement,m,fr
814,enraiement,m,fr
815,ennui,m,fr
816,enquiquineur,m,fr
817,enregistrement,m,fr
818,enracinement,m,fr
819,enquiquinement,m,fr
820,escrivain,m,fr
821,escourgeon,m,fr
822,escompteur,m,fr
823,escogriffe,m,fr
824,escrimeur,m,fr
825,escorteur,m,fr
826,escopettier,m,fr
827,esclavage,m,fr
828,escopateur,m,fr
829,escompte,m,fr
830,esclavagisme,m,fr
831,escient,m,fr
832,esclandre,m,fr
833,examen,m,fr
834,exam,m,fr
835,exakatal,m,fr
836,ex-mari,m,fr
837,exacteur,m,fr
838,ex-libris,m,fr
839,evzone,m,fr
840,falerne,m,fr
841,exarchat,m,fr
842,falafel,m,fr
843,falisque,m,fr
844,falconiforme,m,fr
845,faldistoire,m,fr
846,fakirisme,m,fr
847,falanouk,m,fr
848,falbala,m,fr
849,faix,m,fr
850,faitout,m,fr
851,fait-tout,m,fr
852,fer,m,fr
853,fenton,m,fr
854,fenouil,m,fr
855,fenugrec,m,fr
856,fenil,m,fr
857,fakir,m,fr
858,filoir,m,fr
859,fenestron,m,fr
860,fennec,m,fr
861,fentanyl,m,fr
862,filon,m,fr
863,filmage,m,fr
864,foc,m,fr
865,foie,m,fr
866,foehn,m,fr
867,fodmap,m,fr
868,flyer,m,fr
869,fluxion,m,fr
870,fluxage,m,fr
871,fractale,m,fr
872,fractionnisme,m,fr
873,fractionnement,m,fr
874,fractal,m,fr
875,foyer,m,fr
876,foyard,m,fr
877,fracas,m,fr
878,foutre,m,fr
879,fracassement,m,fr
880,fox-trott,m,fr
881,foutoir,m,fr
882,foutriquet,m,fr
883,fqih,m,fr
884,fox-trot,m,fr
885,fox-terrier,m,fr
886,fructane,m,fr
887,froufrou,m,fr
888,frac,m,fr
889,fouteur,m,fr
890,froumi,m,fr
891,fructidor,m,fr
892,fronton,m,fr
893,frou-frou,m,fr
894,frotteurisme,m,fr
895,frottis,m,fr
896,frottage,m,fr
897,fronteau,m,fr
898,frottoir,m,fr
899,frottement,m,fr
900,frotteur,m,fr
901,frontispice,m,fr
902,frontalier,m,fr
903,galvanisme,m,fr
904,galvaniseur,m,fr
905,galopeur,m,fr
906,galurin,m,fr
907,galopin,m,fr
908,galuchat,m,fr
909,galonnier,m,fr
910,gallon,m,fr
911,galon,m,fr
912,gallup,m,fr
913,gallois,m,fr
914,gallodrome,m,fr
915,gay,m,fr
916,galop,m,fr
917,gaz,m,fr
918,gavage,m,fr
919,gigaoctet,m,fr
920,gavroche,m,fr
921,gayal,m,fr
922,gigakatal,m,fr
923,gavial,m,fr
924,gigantisme,m,fr
925,gigaflop,m,fr
926,gibier,m,fr
927,golf,m,fr
928,gibioctet,m,fr
929,gibus,m,fr
930,golfe,m,fr
931,gogol,m,fr
932,goitre,m,fr
933,gogo,m,fr
934,goguettier,m,fr
935,gogolplex,m,fr
936,gibet,m,fr
937,grand-bi,m,fr
938,grand-chelem,m,fr
939,grand-duc,m,fr
940,grand-angle,m,fr
941,groupe,m,fr
942,grouillot,m,fr
943,grouillement,m,fr
944,groschen,m,fr
945,grossium,m,fr
946,grossulaire,m,fr
947,groseillier,m,fr
948,gros-porteur,m,fr
949,grossissement,m,fr
950,gros-grain,m,fr
951,gros-cul,m,fr
952,haha,m,fr
953,haggis,m,fr
954,hadj,m,fr
955,hahnium,m,fr
956,hadji,m,fr
957,hadopisme,m,fr
958,hadidou,m,fr
959,hafnium,m,fr
960,hacking,m,fr
961,hackeur,m,fr
962,hachisch,m,fr
963,hacker,m,fr
964,hachoir,m,fr
965,hachis,m,fr
966,hackathon,m,fr
967,hadron,m,fr
968,haut-parleur,m,fr
969,haut-relief,m,fr
970,hautbois,m,fr
971,haut-de-chausses,m,fr
972,hommage,m,fr
973,hernute,m,fr
974,homme,m,fr
975,hertz,m,fr
976,homespun,m,fr
977,hombre,m,fr
978,humanisme,m,fr
979,humectage,m,fr
980,humain,m,fr
981,hummus,m,fr
982,humidificateur,m,fr
983,humanitarisme,m,fr
984,hululeur,m,fr
985,humage,m,fr
986,hululement,m,fr
987,huitrier,m,fr
988,humanine,m,fr
989,ibis,m,fr
990,icarisme,m,fr
991,ibadisme,m,fr
992,iambe,m,fr
993,i,m,fr
994,hypothalamus,m,fr
995,hypotexte,m,fr
996,incognito,m,fr
997,inconfort,m,fr
998,hyposulfite,m,fr
999,incompris,m,fr
1000,hypospadias,m,fr
1001,incombement,m,fr
1002,inconditionnel,m,fr
1003,incitatif,m,fr
1004,incivisme,m,fr
1005,incapable,m,fr
1006,incitateur,m,fr
1007,incendiaire,m,fr
1008,incel,m,fr
1009,incendie,m,fr
1010,incantateur,m,fr
1011,inceste,m,fr
1012,incarnat,m,fr
1013,intercesseur,m,fr
1014,intercalaire,m,fr
1015,interculturalisme,m,fr
1016,intendant,m,fr
1017,intercepteur,m,fr
1018,interdit,m,fr
1019,interblocage,m,fr
1020,intellectualisme,m,fr
1021,incident,m,fr
1022,intentionnalisme,m,fr
1024,isotherme,m,fr
1025,ispaghul,m,fr
1026,isotope,m,fr
1027,isopode,m,fr
1028,isotone,m,fr
1029,isorel,m,fr
1030,ison,m,fr
1031,isopropyle,m,fr
1032,isopet,m,fr
1033,jerk,m,fr
1034,intellect,m,fr
1035,isomorphisme,m,fr
1036,isopentane,m,fr
1037,isoloir,m,fr
1038,jerez,m,fr
1039,jujubier,m,fr
1040,juillet,m,fr
1041,jujube,m,fr
1042,juif,m,fr
1043,juke-box,m,fr
1044,jugulaire,m,fr
1045,juin,m,fr
1046,jugement,m,fr
1047,jugerum,m,fr
1048,khan,m,fr
1049,khamsin,m,fr
1050,kharidjisme,m,fr
1051,khanat,m,fr
1052,khalifat,m,fr
1053,khammessat,m,fr
1054,khalife,m,fr
1055,keum,m,fr
1056,keutru,m,fr
1057,keuf,m,fr
1058,keut,m,fr
1059,kevlar,m,fr
1060,labrador,m,fr
1061,laboreur,m,fr
1062,labourage,m,fr
1063,laboureur,m,fr
1064,labre,m,fr
1065,labour,m,fr
1066,laboratoire,m,fr
1067,laborantin,m,fr
1068,labo,m,fr
1069,langar,m,fr
1070,lange,m,fr
1071,langagier,m,fr
1072,langage,m,fr
1073,landau,m,fr
1074,land,m,fr
1075,landaulet,m,fr
1076,landgraviat,m,fr
1077,lancier,m,fr
1078,landgrave,m,fr
1079,lancinement,m,fr
1080,lebel,m,fr
1081,leadership,m,fr
1082,leader,m,fr
1083,lecteur,m,fr
1084,leasing,m,fr
1085,libertinage,m,fr
1086,libertarianisme,m,fr
1087,libertin,m,fr
1088,libero,m,fr
1089,libertarien,m,fr
1090,libertarisme,m,fr
1091,litre,m,fr
1092,litige,m,fr
1093,lithodome,m,fr
1094,lithium,m,fr
1095,lithographe,m,fr
1096,lithocarpe,m,fr
1097,litham,m,fr
1098,lithotriteur,m,fr
1099,litchi,m,fr
1100,lithien,m,fr
1101,litage,m,fr
1102,lithotome,m,fr
1103,lit-cage,m,fr
1104,lovelace,m,fr
1105,louveteau-garou,m,fr
1106,loustic,m,fr
1107,louvetier,m,fr
1108,loup-cervier,m,fr
1109,louveteau,m,fr
1110,lourdaud,m,fr
1111,loupiot,m,fr
1112,macron,m,fr
1113,loup-garou,m,fr
1114,macrofossile,m,fr
